path,type,scope,reference_count,suggested_target,notes
docs/AGENT-AGNOSTIC-TOOLING-PLAN.md,doc,legacy-doc-root,7,docs/archive/legacy-docs/AGENT-AGNOSTIC-TOOLING-PLAN.md,move after link/callsite audit
docs/AGENT-INTEGRATION-WORKFLOW.md,doc,legacy-doc-root,5,docs/archive/legacy-docs/AGENT-INTEGRATION-WORKFLOW.md,move after link/callsite audit
docs/AGENT-ONBOARDING-README.md,doc,legacy-doc-root,4,docs/archive/legacy-docs/AGENT-ONBOARDING-README.md,move after link/callsite audit
docs/AGENT-PARITY-MATRIX.md,doc,legacy-doc-root,5,docs/archive/legacy-docs/AGENT-PARITY-MATRIX.md,move after link/callsite audit
docs/AGENTS.md,doc,legacy-doc-root,13,docs/archive/legacy-docs/AGENTS.md,move after link/callsite audit
docs/AI-AGENT-PROGRESSIVE-DISCLOSURE-README.md,doc,legacy-doc-root,2,docs/archive/legacy-docs/AI-AGENT-PROGRESSIVE-DISCLOSURE-README.md,move after link/callsite audit
docs/AI-STACK-FULL-INTEGRATION.md,doc,legacy-doc-root,9,docs/archive/legacy-docs/AI-STACK-FULL-INTEGRATION.md,move after link/callsite audit
docs/AI-STACK-RAG-IMPLEMENTATION.md,doc,legacy-doc-root,2,docs/archive/legacy-docs/AI-STACK-RAG-IMPLEMENTATION.md,move after link/callsite audit
docs/AI-STACK-V3-AGENTIC-ERA-GUIDE.md,doc,legacy-doc-root,3,docs/archive/legacy-docs/AI-STACK-V3-AGENTIC-ERA-GUIDE.md,move after link/callsite audit
docs/AQD-CLI-USAGE.md,doc,legacy-doc-root,9,docs/archive/legacy-docs/AQD-CLI-USAGE.md,move after link/callsite audit
docs/AUTO-START-IMPLEMENTATION.md,doc,legacy-doc-root,2,docs/archive/legacy-docs/AUTO-START-IMPLEMENTATION.md,move after link/callsite audit
docs/BOOT-FS-RESILIENCE-GUARDRAILS.md,doc,legacy-doc-root,3,docs/archive/legacy-docs/BOOT-FS-RESILIENCE-GUARDRAILS.md,move after link/callsite audit
docs/BUILD_OPTIMIZATION.md,doc,legacy-doc-root,3,docs/archive/legacy-docs/BUILD_OPTIMIZATION.md,move after link/callsite audit
docs/CLAUDE-CODE-ERROR-ANALYSIS.md,doc,legacy-doc-root,2,docs/archive/legacy-docs/CLAUDE-CODE-ERROR-ANALYSIS.md,move after link/callsite audit
docs/CLEAN-SETUP.md,doc,legacy-doc-root,8,docs/archive/legacy-docs/CLEAN-SETUP.md,move after link/callsite audit
docs/CODE_EXAMPLES.md,doc,legacy-doc-root,2,docs/archive/legacy-docs/CODE_EXAMPLES.md,move after link/callsite audit
docs/COMPREHENSIVE-SYSTEM-ANALYSIS.md,doc,legacy-doc-root,2,docs/archive/legacy-docs/COMPREHENSIVE-SYSTEM-ANALYSIS.md,move after link/callsite audit
docs/CONFIGURATION-REFERENCE.md,doc,legacy-doc-root,4,docs/archive/legacy-docs/CONFIGURATION-REFERENCE.md,move after link/callsite audit
docs/CONTAINER-VERSIONS-UPDATE.md,doc,legacy-doc-root,2,docs/archive/legacy-docs/CONTAINER-VERSIONS-UPDATE.md,move after link/callsite audit
docs/CONTEXT-OPTIMIZATION-STRATEGIES-2026.md,doc,legacy-doc-root,3,docs/archive/legacy-docs/CONTEXT-OPTIMIZATION-STRATEGIES-2026.md,move after link/callsite audit
docs/DASHBOARD-COLLECTORS-GUIDE.md,doc,legacy-doc-root,2,docs/archive/legacy-docs/DASHBOARD-COLLECTORS-GUIDE.md,move after link/callsite audit
docs/DASHBOARD-DEPLOYMENT-INTEGRATION.md,doc,legacy-doc-root,2,docs/archive/legacy-docs/DASHBOARD-DEPLOYMENT-INTEGRATION.md,move after link/callsite audit
docs/DASHBOARD-UPDATE-OPTIMIZATION.md,doc,legacy-doc-root,2,docs/archive/legacy-docs/DASHBOARD-UPDATE-OPTIMIZATION.md,move after link/callsite audit
docs/DASHBOARD-V2-UPGRADE.md,doc,legacy-doc-root,2,docs/archive/legacy-docs/DASHBOARD-V2-UPGRADE.md,move after link/callsite audit
docs/DASHBOARD-VISUAL-GUIDE.md,doc,legacy-doc-root,2,docs/archive/legacy-docs/DASHBOARD-VISUAL-GUIDE.md,move after link/callsite audit
docs/DEPLOYMENT-GUIDE-IMPROVEMENTS.md,doc,legacy-doc-root,4,docs/archive/legacy-docs/DEPLOYMENT-GUIDE-IMPROVEMENTS.md,move after link/callsite audit
docs/DEPLOYMENT-PERSISTENCE-VERIFIED.md,doc,legacy-doc-root,2,docs/archive/legacy-docs/DEPLOYMENT-PERSISTENCE-VERIFIED.md,move after link/callsite audit
docs/DEPLOYMENT-SUCCESS-V5.md,doc,legacy-doc-root,2,docs/archive/legacy-docs/DEPLOYMENT-SUCCESS-V5.md,move after link/callsite audit
docs/DEVELOPMENT-ROADMAP.md,doc,legacy-doc-root,3,docs/archive/legacy-docs/DEVELOPMENT-ROADMAP.md,move after link/callsite audit
docs/DISCOVERY-PIPELINE-REVIEW.md,doc,legacy-doc-root,2,docs/archive/legacy-docs/DISCOVERY-PIPELINE-REVIEW.md,move after link/callsite audit
docs/DISTRIBUTED-LEARNING-GUIDE.md,doc,legacy-doc-root,3,docs/archive/legacy-docs/DISTRIBUTED-LEARNING-GUIDE.md,move after link/callsite audit
docs/DOCUMENTATION-INDEX.md,doc,legacy-doc-root,2,docs/archive/legacy-docs/DOCUMENTATION-INDEX.md,move after link/callsite audit
docs/ENFORCE-LOCAL-AI-USAGE.md,doc,legacy-doc-root,3,docs/archive/legacy-docs/ENFORCE-LOCAL-AI-USAGE.md,move after link/callsite audit
docs/ENGINEERING-ENVIRONMENT.md,doc,legacy-doc-root,2,docs/archive/legacy-docs/ENGINEERING-ENVIRONMENT.md,move after link/callsite audit
docs/ERROR_HANDLING_PATTERNS.md,doc,legacy-doc-root,3,docs/archive/legacy-docs/ERROR_HANDLING_PATTERNS.md,move after link/callsite audit
docs/FEDERATED-DATA-STRATEGY.md,doc,legacy-doc-root,2,docs/archive/legacy-docs/FEDERATED-DATA-STRATEGY.md,move after link/callsite audit
docs/FEDERATED-DEPLOYMENT-GUIDE.md,doc,legacy-doc-root,2,docs/archive/legacy-docs/FEDERATED-DEPLOYMENT-GUIDE.md,move after link/callsite audit
docs/FINETUNING.md,doc,legacy-doc-root,5,docs/archive/legacy-docs/FINETUNING.md,move after link/callsite audit
docs/FLAKE-MANAGEMENT.md,doc,legacy-doc-root,4,docs/archive/legacy-docs/FLAKE-MANAGEMENT.md,move after link/callsite audit
docs/GITHUB-TOKEN-SETUP.md,doc,legacy-doc-root,2,docs/archive/legacy-docs/GITHUB-TOKEN-SETUP.md,move after link/callsite audit
docs/GLF_OS_REFERENCE.md,doc,legacy-doc-root,2,docs/archive/legacy-docs/GLF_OS_REFERENCE.md,move after link/callsite audit
docs/HAND-IN-GLOVE-INTEGRATION.md,doc,legacy-doc-root,2,docs/archive/legacy-docs/HAND-IN-GLOVE-INTEGRATION.md,move after link/callsite audit
docs/HEALTH-CHECK-UPDATES-DEC-2025.md,doc,legacy-doc-root,3,docs/archive/legacy-docs/HEALTH-CHECK-UPDATES-DEC-2025.md,move after link/callsite audit
docs/HYBRID-AI-SYSTEM-GUIDE.md,doc,legacy-doc-root,4,docs/archive/legacy-docs/HYBRID-AI-SYSTEM-GUIDE.md,move after link/callsite audit
docs/IMPLEMENTATION-CHECKLIST.md,doc,legacy-doc-root,2,docs/archive/legacy-docs/IMPLEMENTATION-CHECKLIST.md,move after link/callsite audit
docs/IMPROVEMENTS_IMPLEMENTED.md,doc,legacy-doc-root,2,docs/archive/legacy-docs/IMPROVEMENTS_IMPLEMENTED.md,move after link/callsite audit
docs/LOCAL-AI-STARTER.md,doc,legacy-doc-root,3,docs/archive/legacy-docs/LOCAL-AI-STARTER.md,move after link/callsite audit
docs/MCP_SERVERS.md,doc,legacy-doc-root,8,docs/archive/legacy-docs/MCP_SERVERS.md,move after link/callsite audit
docs/MCP_SETUP.md,doc,legacy-doc-root,5,docs/archive/legacy-docs/MCP_SETUP.md,move after link/callsite audit
docs/NIXOS-25.11-RELEASE-RESEARCH.md,doc,legacy-doc-root,3,docs/archive/legacy-docs/NIXOS-25.11-RELEASE-RESEARCH.md,move after link/callsite audit
docs/NIXOS-DEPLOY-SCRIPT-UPDATES.md,doc,legacy-doc-root,2,docs/archive/legacy-docs/NIXOS-DEPLOY-SCRIPT-UPDATES.md,move after link/callsite audit
docs/OPENSKILLS-INTEGRATION-PLAN.md,doc,legacy-doc-root,2,docs/archive/legacy-docs/OPENSKILLS-INTEGRATION-PLAN.md,move after link/callsite audit
docs/OPTIONAL_ENHANCEMENTS.md,doc,legacy-doc-root,2,docs/archive/legacy-docs/OPTIONAL_ENHANCEMENTS.md,move after link/callsite audit
docs/P1-DEPLOYMENT-GUIDE.md,doc,legacy-doc-root,6,docs/archive/legacy-docs/P1-DEPLOYMENT-GUIDE.md,move after link/callsite audit
docs/P1-HARDENING-ROADMAP.md,doc,legacy-doc-root,3,docs/archive/legacy-docs/P1-HARDENING-ROADMAP.md,move after link/callsite audit
docs/PARITY-ADVANCED-TOOLING.md,doc,legacy-doc-root,2,docs/archive/legacy-docs/PARITY-ADVANCED-TOOLING.md,move after link/callsite audit
docs/PRODUCTION-HARDENING-ROADMAP.md,doc,legacy-doc-root,2,docs/archive/legacy-docs/PRODUCTION-HARDENING-ROADMAP.md,move after link/callsite audit
docs/PROGRESSIVE-DISCLOSURE-GUIDE.md,doc,legacy-doc-root,4,docs/archive/legacy-docs/PROGRESSIVE-DISCLOSURE-GUIDE.md,move after link/callsite audit
docs/QUICK-DASHBOARD-REFERENCE.md,doc,legacy-doc-root,2,docs/archive/legacy-docs/QUICK-DASHBOARD-REFERENCE.md,move after link/callsite audit
docs/QUICK-START-LOCAL-AI-ENFORCEMENT.md,doc,legacy-doc-root,2,docs/archive/legacy-docs/QUICK-START-LOCAL-AI-ENFORCEMENT.md,move after link/callsite audit
docs/QUICK_START.md,doc,legacy-doc-root,6,docs/archive/legacy-docs/QUICK_START.md,move after link/callsite audit
docs/RACE_CONDITIONS_ANALYSIS.md,doc,legacy-doc-root,3,docs/archive/legacy-docs/RACE_CONDITIONS_ANALYSIS.md,move after link/callsite audit
docs/README.md,doc,legacy-doc-root,3,docs/archive/legacy-docs/README.md,move after link/callsite audit
docs/RED-TEAM-MCP-SERVERS.md,doc,legacy-doc-root,5,docs/archive/legacy-docs/RED-TEAM-MCP-SERVERS.md,move after link/callsite audit
docs/REPOSITORY-SCOPE-CONTRACT.md,doc,legacy-doc-root,7,docs/archive/legacy-docs/REPOSITORY-SCOPE-CONTRACT.md,move after link/callsite audit
docs/RLM-RAG-SELF-HEALING-IMPLEMENTATION-PLAN.md,doc,legacy-doc-root,2,docs/archive/legacy-docs/RLM-RAG-SELF-HEALING-IMPLEMENTATION-PLAN.md,move after link/callsite audit
docs/SECURITY-AUDIT-DEC-2025.md,doc,legacy-doc-root,2,docs/archive/legacy-docs/SECURITY-AUDIT-DEC-2025.md,move after link/callsite audit
docs/SECURITY-EXCEPTIONS.md,doc,legacy-doc-root,2,docs/archive/legacy-docs/SECURITY-EXCEPTIONS.md,move after link/callsite audit
docs/SESSION-CONTINUATION-DEC-4-2025.md,doc,legacy-doc-root,2,docs/archive/legacy-docs/SESSION-CONTINUATION-DEC-4-2025.md,move after link/callsite audit
docs/SILENT-FAILURES-ANALYSIS.md,doc,legacy-doc-root,2,docs/archive/legacy-docs/SILENT-FAILURES-ANALYSIS.md,move after link/callsite audit
docs/SKILL-BACKUP-POLICY.md,doc,legacy-doc-root,8,docs/archive/legacy-docs/SKILL-BACKUP-POLICY.md,move after link/callsite audit
docs/SKILL-MINIMUM-STANDARD.md,doc,legacy-doc-root,6,docs/archive/legacy-docs/SKILL-MINIMUM-STANDARD.md,move after link/callsite audit
docs/SKILLS-AND-MCP-INVENTORY.md,doc,legacy-doc-root,10,docs/archive/legacy-docs/SKILLS-AND-MCP-INVENTORY.md,move after link/callsite audit
docs/SOPS-NIX-INTEGRATION.md,doc,legacy-doc-root,5,docs/archive/legacy-docs/SOPS-NIX-INTEGRATION.md,move after link/callsite audit
docs/STRUCTURAL_ISSUES_AND_IMPROVEMENTS.md,doc,legacy-doc-root,3,docs/archive/legacy-docs/STRUCTURAL_ISSUES_AND_IMPROVEMENTS.md,move after link/callsite audit
docs/SYNTAX_REFERENCE.md,doc,legacy-doc-root,2,docs/archive/legacy-docs/SYNTAX_REFERENCE.md,move after link/callsite audit
docs/SYSTEM-AUDIT-AND-IMPROVEMENTS-DEC-2025.md,doc,legacy-doc-root,4,docs/archive/legacy-docs/SYSTEM-AUDIT-AND-IMPROVEMENTS-DEC-2025.md,move after link/callsite audit
docs/SYSTEM-IMPROVEMENT-PLAN-2026-03.md,doc,legacy-doc-root,7,docs/archive/legacy-docs/SYSTEM-IMPROVEMENT-PLAN-2026-03.md,move after link/callsite audit
docs/SYSTEM-IMPROVEMENTS-V5.md,doc,legacy-doc-root,2,docs/archive/legacy-docs/SYSTEM-IMPROVEMENTS-V5.md,move after link/callsite audit
docs/SYSTEM-READY-FOR-AIDB.md,doc,legacy-doc-root,2,docs/archive/legacy-docs/SYSTEM-READY-FOR-AIDB.md,move after link/callsite audit
docs/SYSTEM_PROJECT_DESIGN.md,doc,legacy-doc-root,2,docs/archive/legacy-docs/SYSTEM_PROJECT_DESIGN.md,move after link/callsite audit
docs/VIBE-CODING-SYSTEM-ARCHITECTURE.md,doc,legacy-doc-root,2,docs/archive/legacy-docs/VIBE-CODING-SYSTEM-ARCHITECTURE.md,move after link/callsite audit
docs/VIRTUALIZATION-SETUP.md,doc,legacy-doc-root,2,docs/archive/legacy-docs/VIRTUALIZATION-SETUP.md,move after link/callsite audit
docs/VLLM-MIGRATION.md,doc,legacy-doc-root,2,docs/archive/legacy-docs/VLLM-MIGRATION.md,move after link/callsite audit
docs/VLLM-MODEL-SELECTION.md,doc,legacy-doc-root,2,docs/archive/legacy-docs/VLLM-MODEL-SELECTION.md,move after link/callsite audit
docs/initial-passwords.md,doc,legacy-doc-root,2,docs/archive/legacy-docs/initial-passwords.md,move after link/callsite audit
docs/skill-dependency-lock.md,doc,legacy-doc-root,15,docs/archive/legacy-docs/skill-dependency-lock.md,move after link/callsite audit
scripts/ai/ai-env-summary.sh,script,legacy-script-root,4,scripts/deprecated/ai-env-summary.sh,move with path rewrite + runtime validation
scripts/ai/ai-metrics-auto-updater.sh,script,legacy-script-root,4,scripts/deprecated/ai-metrics-auto-updater.sh,move with path rewrite + runtime validation
scripts/ai/ai-model-manager.sh,script,legacy-script-root,2,scripts/deprecated/ai-model-manager.sh,move with path rewrite + runtime validation
scripts/ai/ai-model-setup.sh,script,legacy-script-root,4,scripts/deprecated/ai-model-setup.sh,move with path rewrite + runtime validation
scripts/ai/ai-stack-e2e-test.sh,script,legacy-script-root,6,scripts/deprecated/ai-stack-e2e-test.sh,move with path rewrite + runtime validation
scripts/ai/ai-stack-feature-scenario.sh,script,legacy-script-root,4,scripts/deprecated/ai-stack-feature-scenario.sh,move with path rewrite + runtime validation
scripts/ai/ai-stack-health.sh,script,legacy-script-root,15,scripts/deprecated/ai-stack-health.sh,move with path rewrite + runtime validation
scripts/ai/ai-stack-resume-recovery.sh,script,legacy-script-root,2,scripts/deprecated/ai-stack-resume-recovery.sh,move with path rewrite + runtime validation
scripts/ai/ai-stack-troubleshoot.sh,script,legacy-script-root,5,scripts/deprecated/ai-stack-troubleshoot.sh,move with path rewrite + runtime validation
scripts/governance/apply-project-root.sh,script,legacy-script-root,6,scripts/deprecated/apply-project-root.sh,move with path rewrite + runtime validation
scripts/governance/apply-readme-ai-stack-updates.py,script,legacy-script-root,2,scripts/deprecated/apply-readme-ai-stack-updates.py,move with path rewrite + runtime validation
scripts/apply-tls-certificates.sh,script,legacy-script-root,2,scripts/deprecated/apply-tls-certificates.sh,move with path rewrite + runtime validation
scripts/archive-project-knowledge.sh,script,legacy-script-root,3,scripts/deprecated/archive-project-knowledge.sh,move with path rewrite + runtime validation
scripts/data/bootstrap-prsi-confidence-samples.sh,script,legacy-script-root,3,scripts/deprecated/bootstrap-prsi-confidence-samples.sh,move with path rewrite + runtime validation
scripts/data/bootstrap_aidb_data.sh,script,legacy-script-root,2,scripts/deprecated/bootstrap_aidb_data.sh,move with path rewrite + runtime validation
scripts/testing/chaos-harness-smoke.sh,script,legacy-script-root,16,scripts/deprecated/chaos-harness-smoke.sh,move with path rewrite + runtime validation
scripts/ai/claude-api-proxy.py,script,legacy-script-root,8,scripts/deprecated/claude-api-proxy.py,move with path rewrite + runtime validation
scripts/ai/claude-local-wrapper.py,script,legacy-script-root,7,scripts/deprecated/claude-local-wrapper.py,move with path rewrite + runtime validation
scripts/cleanup-migrated-reports.sh,script,legacy-script-root,3,scripts/deprecated/cleanup-migrated-reports.sh,move with path rewrite + runtime validation
